tag,pointtype,pointsource,instrumenttag,engunits,descriptor,location1,location2,location3,location4,location5,selected
OGB-W1-12S-FLP-PIT-002,Float32,PIWebAPI_OMF,7085,pressure,Register 7085 from Gateway_1,4,0,1,1,0,X
OGB-W1-13T-FLP-PIT-002,Float32,PIWebAPI_OMF,7102,pressure,Register 7102 from Gateway_1,4,0,1,1,0,X
OGB-W1-16L-FLP-PIT-002,Float32,PIWebAPI_OMF,7112,pressure,Register 7112 from Gateway_1,4,0,1,1,0,X
OGB-W1-16S-FLP-PIT-002,Float32,PIWebAPI_OMF,7121,pressure,Register 7121 from Gateway_1,4,0,1,1,0,X
OGB-W1-1CHP-PIT-003,Float32,PIWebAPI_OMF,7007,pressure,Register 7007 from Gateway_1,4,0,1,1,0,X
OGB-W1-7CHP-PIT-003,Float32,PIWebAPI_OMF,7026,pressure,Register 7026 from Gateway_1,4,0,1,1,0,X
OGB-W1-10CHP-PIT-003,Float32,PIWebAPI_OMF,7050,pressure,Register 7050 from Gateway_1,4,0,1,1,0,X
OGB-W1-11CHP-PIT-003,Float32,PIWebAPI_OMF,7063,pressure,Register 7063 from Gateway_1,4,0,1,1,0,X
OGB-W1-12CHP-PIT-003,Float32,PIWebAPI_OMF,7079,pressure,Register 7079 from Gateway_1,4,0,1,1,0,X
OGB-W1-13CHP-PIT-003,Float32,PIWebAPI_OMF,7099,pressure,Register 7099 from Gateway_1,4,0,1,1,0,X
OGB-W1-16CHP-PIT-003,Float32,PIWebAPI_OMF,7115,pressure,Register 7115 from Gateway_1,4,0,1,1,0,X
OGB-W1-1L-FLT-TIT-002,Float32,PIWebAPI_OMF,7016,temperature,Register 7016 from Gateway_1,4,0,1,1,0,X
OGB-W1-7L-FLT-TIT-002,Float32,PIWebAPI_OMF,7035,temperature,Register 7035 from Gateway_1,4,0,1,1,0,X
OGB-W1-7S-FLT-TIT-002,Float32,PIWebAPI_OMF,7043,temperature,Register 7043 from Gateway_1,4,0,1,1,0,X
OGB-W1-10T-FLT-TIT-002,Float32,PIWebAPI_OMF,7056,temperature,Register 7056 from Gateway_1,4,0,1,1,0,X
OGB-W1-11T-FLT-TIT-002,Float32,PIWebAPI_OMF,7069,temperature,Register 7069 from Gateway_1,4,0,1,1,0,X
OGB-W1-12L-FLT-TIT-002,Float32,PIWebAPI_OMF,7088,temperature,Register 7088 from Gateway_1,4,0,1,1,0,X
OGB-W1-12S-FLT-TIT-002,Float32,PIWebAPI_OMF,7092,temperature,Register 7092 from Gateway_1,4,0,1,1,0,X
